Case Number,City,Zip,Date Filed,Date Closed,Case Type,Type of Complaint,Case Disposition,Location
48204,GAITHERSBURG,20877,07/05/2023,07/07/2023,OLTA-LSF,Quit and Vacate,Referred to a MD State Government agency,"GAITHERSBURG 20877
(39.14186, -77.19651)"
48121,CLARKSBURG,20871,05/18/2023,06/16/2023,OLTA-TMF,Quit and Vacate,Service performed or corrected,"CLARKSBURG 20871
(39.2308882, -77.2510824)"
48153,SILVER SPRING,20906,06/07/2023,07/17/2023,OLTA-TMF,Quit and Vacate,Complaint withdrawn,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48079,ROCKVILLE,20850,04/21/2023,07/13/2023,OLTA-TSF,Rent Increase,Settlement Agreement,"ROCKVILLE 20850
(39.08509, -77.150695)"
48133,ROCKVILLE,20852,05/25/2023,07/25/2023,OLTA-TMF,Security Deposit,Settlement Agreement,"ROCKVILLE 20852
(39.056520000000035, -77.11419499999994)"
47888,BETHESDA,20817,03/02/2023,07/13/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"BETHESDA 20817
(39.0064501, -77.1234374)"
48052,GAITHERSBURG,20879,04/05/2023,07/07/2023,OLTA-TSF,Rent Increase,Refund/Rent Credit,"GAITHERSBURG 20879
(39.1617263, -77.1675648)"
42849,OLNEY,20832,12/28/2021,02/09/2022,OLTA-TMF,Quit and Vacate,Other- no communication from tenant,"OLNEY 20832
(39.151625, -77.06686)"
48055,GERMANTOWN,20876,04/06/2023,05/01/2023,OLTA-TSF,Lease Agreement Tenant Rights,Service performed or corrected,"GERMANTOWN 20876
(39.1877503, -77.2365474)"
47972,SILVER SPRING,20906,03/09/2023,07/11/2023,OLTA-TMF,Security Deposit,Referred to Landlord-Tenant Commission,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48051,KENSINGTON,20895,04/05/2023,05/23/2023,OLTA-TMF,Lease Agreement Tenant Rights,Acceptable explanation,"KENSINGTON 20895
(39.028465, -77.073155)"
45438,SILVER SPRING,20906,09/27/2022,02/01/2023,OLTA-TSF,Quit and Vacate,Referred to a MD State Government agency,"SILVER SPRING 20906
(39.0679087, -77.0683461)"
48063,SILVER SPRING,20910,04/13/2023,07/20/2023,OLTA-TMF,Maintenance - Infestation,Service performed or corrected,"SILVER SPRING 20910
(38.99308, -77.02379)"
48143,GERMANTOWN,20874,06/01/2023,07/20/2023,OLTA-TMF,Security Deposit,Refund (payments/deposits),"GERMANTOWN 20874
(39.19241, -77.274965)"
48118,GERMANTOWN,20874,05/15/2023,07/19/2023,OLTA-TMF,Ratio Utility Billing,Refund (payments/deposits),"GERMANTOWN 20874
(39.19241, -77.274965)"
